respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,sns2a,sns2b,sns2c,sns2d,sns2e,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
4,1,1,190108,1,3,37,2,37069,S, ,2,1,1,5,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2, ,5,2,2,1,2,1,2,2,2,2, , ,1, ,5,2,2,2,0, , , ,75,1,3,4,2,2, , , ,2, ,3,2, ,2,2,1, , ,1.1438266, 
7,1,1,190108,1,2,39,3,39025,S, ,1,1,1,2,2,1,2, ,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,1,2,2, , , , , ,1,1,1,0, , , ,56,1,4,1,2,1, , , ,1, ,8,1, ,2,2,1, , ,.6114926, 
9,1,1,190108,1,1,34,4,34025,S, ,2,1,1,2,1,1,2, ,1,1,1, , , , , , , , , , ,1,1,1,2,1,2,1,1,2,2,4,3, ,5,1,1,2,3,1,2,2,65,1,6,3,2,1, , , ,1, ,7,1, ,2,2,1, , ,.4247968, 
10,1,1,190108,1,2,18,3,18039,S, ,2,1,2,3,1,1,2, ,1,2, , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,2, ,4,2,1,2,20,1,2,1,67,1,3,3,2,1,5, , ,4, ,6,3,2,2,2,1, , ,1.3235625, 
11,1,1,190114,1,2,26,2,26027,S, ,1,1,1,4,1,1,2, ,1,2, , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,3, ,5,1,1,2,20,1,2,1,64,1,5,1,2,1, , , ,1, ,7,3,1,2,2,1, , ,.6394523, 
13,1,1,190108,1,1,34,5,34017,U, ,2,1,1,1,1,1,3, ,2, , , , , , , , , , , , ,2,1,1,2,1,2,1,2,2, ,3,1, ,1,2,1,1,2,1,2,2,33,6,3,4,1,7, , , ,5,1,1,3,1,1, ,2, , ,1.91362, 
14,1,1,190108,1,1,36,5,36119,U, ,1,1,1,2,1,1,2, ,1,1,3, , , , , , , , , , ,1,2,1,2,1,1,2,2,2,3, ,2, ,3,2,1,2,2,1,2,2,50,3,5,3,1,1,2, , ,4,1,4,3,2,2,2,1, , ,1.3302195, 
15,1,1,190115,1,3,47,2,47073,S, ,1,2,2, ,2,2, , ,1,2, ,2,2,2,8, ,2,8,2, , ,2,2,2,2,8,2,2,2,2, , , , , ,2,2,2,0, , , ,78,3,1,3,2,1, , , ,1, ,99,4,9,1, ,1, , ,.8333559, 
16,1,1,190108,1,2,26,1,26033,R, ,2,1,1,2,1,1,2, ,1,1,1, , , , , , , , , , ,2,2,1,2,1,2,1,2,2, , ,2, ,2,2,1,2,4,1,2,2,70,1,4,3,2,1, , , ,1, ,7,1, ,2,2,1, , ,.6696295, 
17,1,1,190108,1,2,26,3,26065,S, ,1,1,1,1,2,1,2, ,1,1,2, , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,4,1,1,2,50,1,2,1,60,1,8,1,2,3, , , ,3, ,9,1, ,3,3,1, , ,.6463056, 
18,1,1,190108,1,3,37,2,37057,S, ,2,1,1,2,2,1,2, ,1,2, , , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,2,1,1,1,7,1,2,2,62,1,8,2,2,1, , , ,1, ,99,2, ,3,3,1, , ,.6967772, 
20,1,1,190108,1,3,21,4,21111,U, ,1,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,1, , ,1,1,2,0, , , ,71,2,6,3,2,1, , , ,1, ,99,9,9,9,9,9,9, ,.3952943, 
21,1,1,190108,1,2,26,4,26125,S, ,1,1,1,2,2,1,2, ,1,1,1, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,1,15,1,2,2,55,1,3,1,2,1, , , ,1, ,9,3,1,3,2,1, , ,.843741, 
22,1,1,190108,1,3,45,3,45019,S, ,1,1,1,1,1,1,3, ,1,1,2, , , , , , , , , , ,1,2,1,2,1,2,1,1,2,5, ,1, ,1,1,1,1,40,1,1,2,56,1,5,1,2,1, , , ,1, ,9,1, ,2,2,1, , ,.6395262, 
23,1,1,190108,1,3,21,4,21111,U, ,1,1,2,2,2,1,3, ,1,2, , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,2, ,5,2,1,2,0, , , ,58,3,4,3,2,2, , , ,2, ,5,2, ,1, ,1, , ,.6217296, 
27,1,1,190108,1,2,55,1,55045,S, ,2,1,1,5,2,2, , ,1,2, ,2,2,1,1, ,1,2,1,I REALLY WOULDN'T USE IT BECAUSE I'M OLD,6,2,2,1,2,2,2,2,2,2, , ,5, , ,1,2,2,5,1,2,2,87,5,4,3,2,1, , , ,1, ,4,3,2,2,2,1, , ,.6696295, 
28,1,1,190110,1,2,55,3,55133,S, ,1,2,2, ,2,1,2, ,1,2, , , , , , , , , , , ,2,2,2,2,1,2,2,1,2, , , , ,3,1,1,1,30,1,2,1,99,9,6,2,9,9, , , ,9, ,7,1, ,3,3,1, , ,.4542954, 
